RocksDB:    version 11.3.0
Date:       Tue May 26 09:24:37 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-09:24:38  ... thread 0: (26000,26000) ops and (25871.7,25871.7) ops/second in (1.004961,1.004961) seconds
2026/05/26-09:24:38  ... thread 2: (27000,27000) ops and (26264.0,26264.0) ops/second in (1.028025,1.028025) seconds
2026/05/26-09:24:38  ... thread 1: (28000,28000) ops and (27112.0,27112.0) ops/second in (1.032753,1.032753) seconds
2026/05/26-09:24:38  ... thread 3: (27000,27000) ops and (26043.0,26043.0) ops/second in (1.036745,1.036745) seconds
2026/05/26-09:24:39  ... thread 0: (26000,52000) ops and (25803.5,25837.5) ops/second in (1.007614,2.012575) seconds
2026/05/26-09:24:39  ... thread 3: (27000,54000) ops and (26942.2,26485.0) ops/second in (1.002144,2.038889) seconds
2026/05/26-09:24:39  ... thread 2: (32000,59000) ops and (31475.6,28855.3) ops/second in (1.016662,2.044687) seconds
2026/05/26-09:24:39  ... thread 1: (31000,59000) ops and (30612.4,28845.0) ops/second in (1.012661,2.045414) seconds
2026/05/26-09:24:40  ... thread 0: (26000,78000) ops and (25722.5,25799.1) ops/second in (1.010788,3.023363) seconds
2026/05/26-09:24:40  ... thread 3: (27000,81000) ops and (26765.9,26578.0) ops/second in (1.008745,3.047634) seconds
2026/05/26-09:24:40  ... thread 2: (33000,92000) ops and (32782.7,30150.9) ops/second in (1.006628,3.051315) seconds
2026/05/26-09:24:40  ... thread 1: (33000,92000) ops and (32043.7,29916.2) ops/second in (1.029845,3.075259) seconds
2026/05/26-09:24:41  ... thread 0: (12000,90000) ops and (11621.5,22189.7) ops/second in (1.032569,4.055932) seconds
2026/05/26-09:24:41  ... thread 3: (15000,96000) ops and (14678.0,23589.7) ops/second in (1.021941,4.069575) seconds
2026/05/26-09:24:41  ... thread 1: (14000,106000) ops and (13929.8,25978.5) ops/second in (1.005040,4.080299) seconds
2026/05/26-09:24:41  ... thread 2: (14000,106000) ops and (13341.8,25849.6) ops/second in (1.049331,4.100646) seconds
2026/05/26-09:24:42  ... thread 0: (14000,104000) ops and (13873.2,20532.8) ops/second in (1.009137,5.065069) seconds
2026/05/26-09:24:42  ... thread 3: (18000,114000) ops and (17737.8,22421.7) ops/second in (1.014784,5.084359) seconds
2026/05/26-09:24:42  ... thread 1: (13000,119000) ops and (12862.4,23374.6) ops/second in (1.010698,5.090997) seconds
2026/05/26-09:24:42  ... thread 2: (17000,123000) ops and (16967.8,24105.6) ops/second in (1.001899,5.102545) seconds
2026/05/26-09:24:43  ... thread 0: (27000,131000) ops and (26785.4,21570.6) ops/second in (1.008010,6.073079) seconds
2026/05/26-09:24:43  ... thread 3: (27000,141000) ops and (26838.2,23151.2) ops/second in (1.006030,6.090389) seconds
2026/05/26-09:24:43  ... thread 1: (31000,150000) ops and (30160.5,24514.5) ops/second in (1.027835,6.118832) seconds
2026/05/26-09:24:43  ... thread 2: (21000,144000) ops and (20415.5,23486.5) ops/second in (1.028629,6.131174) seconds
2026/05/26-09:24:44  ... thread 0: (15000,146000) ops and (13727.0,20374.5) ops/second in (1.092738,7.165817) seconds
2026/05/26-09:24:44  ... thread 1: (16000,166000) ops and (15027.8,23108.4) ops/second in (1.064694,7.183526) seconds
2026/05/26-09:24:44  ... thread 2: (14000,158000) ops and (13261.0,21984.5) ops/second in (1.055724,7.186898) seconds
2026/05/26-09:24:44  ... thread 3: (13000,154000) ops and (11754.6,21399.8) ops/second in (1.105950,7.196339) seconds
2026/05/26-09:24:46  ... thread 3: (12000,166000) ops and (9894.0,19740.3) ops/second in (1.212854,8.409193) seconds
2026/05/26-09:24:46  ... thread 0: (17000,163000) ops and (13671.9,19383.4) ops/second in (1.243428,8.409245) seconds
2026/05/26-09:24:46  ... thread 2: (18000,176000) ops and (14488.5,20879.6) ops/second in (1.242363,8.429261) seconds
