RocksDB:    version 11.3.0
Date:       Tue May 26 09:57:52 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-09:57:54  ... thread 0: (30000,30000) ops and (29663.6,29663.6) ops/second in (1.011342,1.011342) seconds
2026/05/26-09:57:54  ... thread 1: (32000,32000) ops and (31520.2,31520.2) ops/second in (1.015223,1.015223) seconds
2026/05/26-09:57:54  ... thread 2: (33000,33000) ops and (32430.5,32430.5) ops/second in (1.017560,1.017560) seconds
2026/05/26-09:57:54  ... thread 3: (32000,32000) ops and (31309.3,31309.3) ops/second in (1.022061,1.022061) seconds
2026/05/26-09:57:55  ... thread 1: (30000,62000) ops and (28462.8,29962.8) ops/second in (1.054008,2.069231) seconds
2026/05/26-09:57:55  ... thread 2: (30000,63000) ops and (28422.4,30389.8) ops/second in (1.055507,2.073067) seconds
2026/05/26-09:57:55  ... thread 0: (31000,61000) ops and (29093.9,29371.3) ops/second in (1.065515,2.076857) seconds
2026/05/26-09:57:55  ... thread 3: (34000,66000) ops and (32040.7,31681.8) ops/second in (1.061151,2.083212) seconds
2026/05/26-09:57:56  ... thread 0: (15000,76000) ops and (14416.9,24380.1) ops/second in (1.040445,3.117302) seconds
2026/05/26-09:57:56  ... thread 3: (16000,82000) ops and (9682.0,21950.0) ops/second in (1.652544,3.735756) seconds
2026/05/26-09:57:56  ... thread 1: (17000,79000) ops and (10096.5,21049.9) ops/second in (1.683748,3.752979) seconds
2026/05/26-09:57:56  ... thread 2: (17000,80000) ops and (10096.4,21294.5) ops/second in (1.683765,3.756832) seconds
2026/05/26-09:57:57  ... thread 0: (3000,79000) ops and (2345.1,17968.6) ops/second in (1.279264,4.396566) seconds
2026/05/26-09:57:57  ... thread 2: (3000,83000) ops and (2818.6,17215.7) ops/second in (1.064356,4.821188) seconds
2026/05/26-09:57:57  ... thread 3: (3000,85000) ops and (2757.7,17621.6) ops/second in (1.087868,4.823624) seconds
2026/05/26-09:57:57  ... thread 1: (2000,81000) ops and (1866.8,16789.8) ops/second in (1.071373,4.824352) seconds
2026/05/26-09:57:58  ... thread 0: (25000,104000) ops and (24329.2,19173.6) ops/second in (1.027571,5.424137) seconds
2026/05/26-09:57:58  ... thread 2: (40000,123000) ops and (39888.3,21119.5) ops/second in (1.002800,5.823988) seconds
2026/05/26-09:57:58  ... thread 3: (33000,118000) ops and (32789.0,20239.9) ops/second in (1.006434,5.830058) seconds
2026/05/26-09:57:58  ... thread 1: (35000,116000) ops and (34261.6,19842.9) ops/second in (1.021553,5.845905) seconds
2026/05/26-09:57:59  ... thread 0: (33000,137000) ops and (32429.0,21267.5) ops/second in (1.017609,6.441746) seconds
2026/05/26-09:57:59  ... thread 1: (23000,139000) ops and (21185.8,20053.3) ops/second in (1.085631,6.931536) seconds
2026/05/26-09:58:00  ... thread 0: (2000,139000) ops and (1582.3,18038.5) ops/second in (1.264003,7.705749) seconds
2026/05/26-09:58:00  ... thread 3: (23000,141000) ops and (12165.3,18262.6) ops/second in (1.890625,7.720683) seconds
2026/05/26-09:58:00  ... thread 2: (22000,145000) ops and (11533.5,18754.5) ops/second in (1.907483,7.731471) seconds
2026/05/26-09:58:01  ... thread 1: (5000,144000) ops and (4325.5,17805.3) ops/second in (1.155935,8.087471) seconds
2026/05/26-09:58:01  ... thread 2: (1000,146000) ops and (860.8,16417.2) ops/second in (1.161662,8.893133) seconds
2026/05/26-09:58:01  ... thread 0: (3000,142000) ops and (2501.6,15946.1) ops/second in (1.199226,8.904975) seconds
2026/05/26-09:58:02  ... thread 1: (3000,147000) ops and (2880.1,16102.3) ops/second in (1.041638,9.129109) seconds
2026/05/26-09:58:02  ... thread 3: (2000,143000) ops and (1068.7,14908.1) ops/second in (1.871444,9.592127) seconds
2026/05/26-09:58:03  ... thread 0: (1000,143000) ops and (663.7,13734.6) ops/second in (1.506685,10.411660) seconds
2026/05/26-09:58:03  ... thread 2: (2000,148000) ops and (1216.0,14044.6) ops/second in (1.644744,10.537877) seconds
2026/05/26-09:58:03  ... thread 1: (3000,150000) ops and (2110.6,14217.4) ops/second in (1.421366,10.550475) seconds
2026/05/26-09:58:03  ... thread 3: (5000,148000) ops and (4937.0,13955.8) ops/second in (1.012757,10.604884) seconds
2026/05/26-09:58:04  ... thread 0: (33000,176000) ops and (32982.1,15422.1) ops/second in (1.000542,11.412202) seconds
2026/05/26-09:58:04  ... thread 2: (33000,181000) ops and (32956.5,15685.7) ops/second in (1.001321,11.539198) seconds
2026/05/26-09:58:04  ... thread 1: (38000,188000) ops and (37555.3,16259.7) ops/second in (1.011840,11.562315) seconds
2026/05/26-09:58:04  ... thread 3: (36000,184000) ops and (30428.2,15609.1) ops/second in (1.183113,11.787997) seconds
2026/05/26-09:58:05  ... thread 2: (22000,203000) ops and (19647.7,16036.1) ops/second in (1.119724,12.658922) seconds
2026/05/26-09:58:06  ... thread 0: (26000,202000) ops and (13221.6,15098.7) ops/second in (1.966472,13.378674) seconds
2026/05/26-09:58:06  ... thread 1: (17000,205000) ops and (9309.8,15311.8) ops/second in (1.826041,13.388356) seconds
2026/05/26-09:58:06  ... thread 3: (20000,204000) ops and (12281.8,15205.2) ops/second in (1.628427,13.416424) seconds
2026/05/26-09:58:07  ... thread 2: (2000,205000) ops and (1136.4,14217.5) ops/second in (1.759889,14.418811) seconds
2026/05/26-09:58:07  ... thread 1: (5000,210000) ops and (4669.4,14523.7) ops/second in (1.070798,14.459154) seconds
2026/05/26-09:58:07  ... thread 0: (2000,204000) ops and (1743.1,14043.7) ops/second in (1.147384,14.526058) seconds
2026/05/26-09:58:08  ... thread 3: (2000,206000) ops and (1095.0,13514.5) ops/second in (1.826509,15.242933) seconds
2026/05/26-09:58:08  ... thread 2: (2000,207000) ops and (1880.6,13370.1) ops/second in (1.063475,15.482286) seconds
2026/05/26-09:58:08  ... thread 1: (2000,212000) ops and (1915.7,13674.6) ops/second in (1.043997,15.503151) seconds
2026/05/26-09:58:08  ... thread 0: (2000,206000) ops and (1695.5,13116.3) ops/second in (1.179622,15.705680) seconds
2026/05/26-09:58:09  ... thread 3: (2000,208000) ops and (1316.6,12409.0) ops/second in (1.519099,16.762032) seconds
2026/05/26-09:58:09  ... thread 2: (2000,209000) ops and (1563.3,12468.9) ops/second in (1.279366,16.761652) seconds
2026/05/26-09:58:10  ... thread 1: (1000,213000) ops and (618.8,12442.2) ops/second in (1.616055,17.119206) seconds
2026/05/26-09:58:10  ... thread 0: (4000,210000) ops and (2300.3,12038.1) ops/second in (1.738909,17.444589) seconds
2026/05/26-09:58:10  ... thread 3: (7000,215000) ops and (6976.0,12102.1) ops/second in (1.003444,17.765476) seconds
2026/05/26-09:58:10  ... thread 2: (9000,218000) ops and (8886.1,12264.8) ops/second in (1.012819,17.774471) seconds
2026/05/26-09:58:11  ... thread 1: (22000,235000) ops and (21875.9,12965.6) ops/second in (1.005673,18.124879) seconds
2026/05/26-09:58:11  ... thread 0: (27000,237000) ops and (26469.3,12835.3) ops/second in (1.020048,18.464637) seconds
2026/05/26-09:58:11  ... thread 2: (32000,250000) ops and (29911.4,13266.6) ops/second in (1.069826,18.844297) seconds
2026/05/26-09:58:11  ... thread 3: (34000,249000) ops and (31338.0,13209.3) ops/second in (1.084946,18.850422) seconds
2026/05/26-09:58:12  ... thread 1: (31000,266000) ops and (30531.9,13897.4) ops/second in (1.015331,19.140210) seconds
2026/05/26-09:58:12  ... thread 0: (24000,261000) ops and (19054.8,13232.5) ops/second in (1.259525,19.724162) seconds
2026/05/26-09:58:13  ... thread 3: (17000,266000) ops and (12251.5,13143.6) ops/second in (1.387585,20.238007) seconds
2026/05/26-09:58:13  ... thread 1: (3000,269000) ops and (2714.4,13286.9) ops/second in (1.105219,20.245429) seconds
2026/05/26-09:58:13  ... thread 2: (17000,267000) ops and (12103.9,13186.0) ops/second in (1.404503,20.248800) seconds
2026/05/26-09:58:13  ... thread 0: (1000,262000) ops and (816.1,12506.2) ops/second in (1.225397,20.949559) seconds
2026/05/26-09:58:14  ... thread 3: (2000,268000) ops and (1492.9,12420.2) ops/second in (1.339673,21.577680) seconds
2026/05/26-09:58:14  ... thread 2: (4000,271000) ops and (2754.7,12488.0) ops/second in (1.452087,21.700887) seconds
2026/05/26-09:58:15  ... thread 0: (3000,265000) ops and (2598.6,11988.8) ops/second in (1.154463,22.104022) seconds
2026/05/26-09:58:15  ... thread 1: (2000,271000) ops and (1048.9,12233.5) ops/second in (1.906780,22.152209) seconds
2026/05/26-09:58:15  ... thread 3: (2000,270000) ops and (1864.9,11920.5) ops/second in (1.072447,22.650127) seconds
2026/05/26-09:58:15  ... thread 2: (5000,276000) ops and (4942.2,12151.9) ops/second in (1.011686,22.712573) seconds
2026/05/26-09:58:16  ... thread 1: (14000,285000) ops and (13991.3,12309.5) ops/second in (1.000619,23.152828) seconds
2026/05/26-09:58:16  ... thread 0: (17000,282000) ops and (16211.0,12180.0) ops/second in (1.048671,23.152693) seconds
2026/05/26-09:58:16  ... thread 3: (30000,300000) ops and (29343.3,12672.9) ops/second in (1.022381,23.672508) seconds
2026/05/26-09:58:16  ... thread 2: (26000,302000) ops and (25131.7,12717.3) ops/second in (1.034549,23.747122) seconds
2026/05/26-09:58:17  ... thread 1: (30000,315000) ops and (29948.2,13041.0) ops/second in (1.001729,24.154557) seconds
2026/05/26-09:58:17  ... thread 0: (28000,310000) ops and (27218.5,12819.8) ops/second in (1.028712,24.181405) seconds
2026/05/26-09:58:17  ... thread 3: (26000,326000) ops and (25152.2,13195.1) ops/second in (1.033705,24.706213) seconds
2026/05/26-09:58:18  ... thread 1: (15000,330000) ops and (10623.7,12907.5) ops/second in (1.411936,25.566493) seconds
2026/05/26-09:58:18  ... thread 0: (15000,325000) ops and (10804.5,12710.3) ops/second in (1.388313,25.569718) seconds
2026/05/26-09:58:18  ... thread 2: (26000,328000) ops and (14136.6,12819.3) ops/second in (1.839199,25.586321) seconds
2026/05/26-09:58:19  ... thread 2: (2000,330000) ops and (1945.2,12399.3) ops/second in (1.028191,26.614512) seconds
2026/05/26-09:58:19  ... thread 3: (5000,331000) ops and (2507.1,12396.7) ops/second in (1.994363,26.700576) seconds
2026/05/26-09:58:19  ... thread 1: (2000,332000) ops and (1681.0,12408.3) ops/second in (1.189763,26.756256) seconds
2026/05/26-09:58:20  ... thread 0: (4000,329000) ops and (2430.6,12088.8) ops/second in (1.645659,27.215377) seconds
2026/05/26-09:58:21  ... thread 3: (3000,334000) ops and (1964.1,11832.2) ops/second in (1.527432,28.228008) seconds
2026/05/26-09:58:21  ... thread 0: (2000,331000) ops and (1491.8,11591.2) ops/second in (1.340651,28.556028) seconds
2026/05/26-09:58:21  ... thread 2: (3000,333000) ops and (1526.7,11651.7) ops/second in (1.964980,28.579492) seconds
2026/05/26-09:58:21  ... thread 1: (2000,334000) ops and (975.0,11594.2) ops/second in (2.051242,28.807498) seconds
2026/05/26-09:58:22  ... thread 3: (3000,337000) ops and (2960.9,11524.8) ops/second in (1.013190,29.241198) seconds
2026/05/26-09:58:22  ... thread 2: (3000,336000) ops and (2652.1,11309.1) ops/second in (1.131191,29.710683) seconds
2026/05/26-09:58:22  ... thread 0: (2000,333000) ops and (1717.1,11204.3) ops/second in (1.164724,29.720752) seconds
2026/05/26-09:58:22  ... thread 1: (6000,340000) ops and (5872.8,11398.2) ops/second in (1.021666,29.829164) seconds
2026/05/26-09:58:23  ... thread 3: (23000,360000) ops and (22801.4,11900.9) ops/second in (1.008708,30.249906) seconds
2026/05/26-09:58:23  ... thread 0: (36000,369000) ops and (35550.5,12006.5) ops/second in (1.012645,30.733397) seconds
2026/05/26-09:58:23  ... thread 2: (36000,372000) ops and (34781.4,12099.2) ops/second in (1.035037,30.745720) seconds
2026/05/26-09:58:23  ... thread 1: (33000,373000) ops and (30059.6,12060.7) ops/second in (1.097819,30.926983) seconds
2026/05/26-09:58:24  ... thread 3: (32000,392000) ops and (31638.4,12539.5) ops/second in (1.011429,31.261335) seconds
2026/05/26-09:58:24  ... thread 2: (21000,393000) ops and (20605.1,12372.2) ops/second in (1.019166,31.764886) seconds
2026/05/26-09:58:25  ... thread 1: (15000,388000) ops and (9554.2,11939.6) ops/second in (1.569996,32.496979) seconds
2026/05/26-09:58:25  ... thread 3: (2000,394000) ops and (1558.6,12106.5) ops/second in (1.283234,32.544569) seconds
2026/05/26-09:58:25  ... thread 0: (16000,385000) ops and (8818.8,11828.8) ops/second in (1.814308,32.547705) seconds
2026/05/26-09:58:26  ... thread 2: (4000,397000) ops and (3139.3,12016.1) ops/second in (1.274156,33.039042) seconds
2026/05/26-09:58:26  ... thread 1: (3000,391000) ops and (2858.6,11655.5) ops/second in (1.049461,33.546440) seconds
2026/05/26-09:58:26  ... thread 3: (2000,396000) ops and (1848.8,11776.5) ops/second in (1.081784,33.626353) seconds
2026/05/26-09:58:26  ... thread 0: (2000,387000) ops and (1517.8,11427.6) ops/second in (1.317662,33.865367) seconds
2026/05/26-09:58:27  ... thread 2: (2000,399000) ops and (1736.4,11669.8) ops/second in (1.151810,34.190852) seconds
2026/05/26-09:58:27  ... thread 3: (2000,398000) ops and (1694.9,11434.7) ops/second in (1.180011,34.806364) seconds
2026/05/26-09:58:28  ... thread 0: (1000,388000) ops and (742.8,11019.1) ops/second in (1.346271,35.211638) seconds
2026/05/26-09:58:28  ... thread 1: (2000,393000) ops and (1022.6,11069.7) ops/second in (1.955847,35.502287) seconds
2026/05/26-09:58:28  ... thread 2: (3000,402000) ops and (2168.5,11300.3) ops/second in (1.383438,35.574290) seconds
2026/05/26-09:58:29  ... thread 3: (2000,400000) ops and (1517.2,11072.8) ops/second in (1.318193,36.124557) seconds
2026/05/26-09:58:29  ... thread 0: (5000,393000) ops and (4979.6,10851.6) ops/second in (1.004093,36.215731) seconds
2026/05/26-09:58:29  ... thread 1: (11000,404000) ops and (10375.9,11049.6) ops/second in (1.060144,36.562431) seconds
2026/05/26-09:58:29  ... thread 2: (10000,412000) ops and (9194.4,11237.8) ops/second in (1.087616,36.661906) seconds
2026/05/26-09:58:30  ... thread 1: (15000,419000) ops and (14019.5,11134.0) ops/second in (1.069939,37.632370) seconds
2026/05/26-09:58:30  ... thread 3: (24000,424000) ops and (15577.0,11257.0) ops/second in (1.540733,37.665290) seconds
2026/05/26-09:58:30  ... thread 2: (11000,423000) ops and (10932.6,11229.7) ops/second in (1.006166,37.668072) seconds
2026/05/26-09:58:30  ... thread 0: (24000,417000) ops and (16468.0,11068.9) ops/second in (1.457373,37.673104) seconds
2026/05/26-09:58:31  ... thread 1: (18000,437000) ops and (17695.6,11306.7) ops/second in (1.017202,38.649572) seconds
2026/05/26-09:58:31  ... thread 3: (20000,444000) ops and (19709.2,11478.8) ops/second in (1.014753,38.680043) seconds
2026/05/26-09:58:31  ... thread 2: (21000,444000) ops and (20743.6,11478.7) ops/second in (1.012359,38.680431) seconds
2026/05/26-09:58:31  ... thread 0: (18000,435000) ops and (17623.0,11241.9) ops/second in (1.021394,38.694498) seconds
2026/05/26-09:58:32  ... thread 0: (11000,446000) ops and (10237.3,11214.8) ops/second in (1.074505,39.769003) seconds
2026/05/26-09:58:32  ... thread 1: (13000,450000) ops and (9649.6,11250.9) ops/second in (1.347210,39.996782) seconds
2026/05/26-09:58:33  ... thread 3: (14000,458000) ops and (9845.8,11420.9) ops/second in (1.421924,40.101967) seconds
2026/05/26-09:58:33  ... thread 2: (13000,457000) ops and (7338.1,11297.3) ops/second in (1.771570,40.452001) seconds
2026/05/26-09:58:33  ... thread 0: (3000,449000) ops and (2941.3,11007.9) ops/second in (1.019971,40.788974) seconds
2026/05/26-09:58:34  ... thread 1: (2000,452000) ops and (1539.7,10945.4) ops/second in (1.298925,41.295707) seconds
2026/05/26-09:58:34  ... thread 3: (1000,459000) ops and (833.6,11113.4) ops/second in (1.199554,41.301521) seconds
2026/05/26-09:58:34  ... thread 2: (2000,459000) ops and (1588.7,11004.3) ops/second in (1.258867,41.710868) seconds
2026/05/26-09:58:34  ... thread 0: (3000,452000) ops and (2514.1,10766.5) ops/second in (1.193250,41.982224) seconds
2026/05/26-09:58:35  ... thread 3: (2000,461000) ops and (1523.1,10817.9) ops/second in (1.313077,42.614598) seconds
2026/05/26-09:58:36  ... thread 0: (2000,454000) ops and (1851.4,10542.8) ops/second in (1.080274,43.062498) seconds
2026/05/26-09:58:36  ... thread 2: (2000,461000) ops and (1268.6,10649.8) ops/second in (1.576514,43.287382) seconds
2026/05/26-09:58:37  ... thread 3: (3000,464000) ops and (1864.3,10492.1) ops/second in (1.609152,44.223750) seconds
2026/05/26-09:58:37  ... thread 1: (2000,454000) ops and (672.2,10255.0) ops/second in (2.975367,44.271074) seconds
2026/05/26-09:58:37  ... thread 0: (3000,457000) ops and (2309.8,10301.8) ops/second in (1.298798,44.361296) seconds
2026/05/26-09:58:37  ... thread 2: (3000,464000) ops and (2781.6,10458.5) ops/second in (1.078505,44.365887) seconds
2026/05/26-09:58:38  ... thread 1: (22000,476000) ops and (14730.1,10401.0) ops/second in (1.493539,45.764613) seconds
2026/05/26-09:58:38  ... thread 0: (23000,480000) ops and (16183.7,10484.4) ops/second in (1.421185,45.782481) seconds
2026/05/26-09:58:38  ... thread 2: (23000,487000) ops and (16229.1,10637.1) ops/second in (1.417203,45.783090) seconds
2026/05/26-09:58:38  ... thread 3: (24000,488000) ops and (15158.8,10653.4) ops/second in (1.583243,45.806993) seconds
2026/05/26-09:58:39  ... thread 3: (15000,503000) ops and (14754.8,10742.4) ops/second in (1.016619,46.823612) seconds
2026/05/26-09:58:39  ... thread 0: (18000,498000) ops and (17288.3,10635.7) ops/second in (1.041169,46.823650) seconds
2026/05/26-09:58:39  ... thread 2: (15000,502000) ops and (14405.9,10720.9) ops/second in (1.041239,46.824329) seconds
2026/05/26-09:58:39  ... thread 1: (15000,491000) ops and (14115.7,10485.3) ops/second in (1.062650,46.827263) seconds
2026/05/26-09:58:40  ... thread 0: (17000,515000) ops and (15162.2,10741.5) ops/second in (1.121212,47.944862) seconds
2026/05/26-09:58:41  ... thread 1: (16000,507000) ops and (11804.0,10522.4) ops/second in (1.355467,48.182730) seconds
2026/05/26-09:58:41  ... thread 3: (17000,520000) ops and (11436.4,10763.8) ops/second in (1.486478,48.310090) seconds
2026/05/26-09:58:41  ... thread 2: (16000,518000) ops and (9142.7,10664.1) ops/second in (1.750039,48.574368) seconds
2026/05/26-09:58:42  ... thread 1: (3000,510000) ops and (2617.9,10338.8) ops/second in (1.145936,49.328666) seconds
2026/05/26-09:58:42  ... thread 0: (2000,517000) ops and (1332.0,10455.8) ops/second in (1.501532,49.446394) seconds
2026/05/26-09:58:42  ... thread 2: (2000,520000) ops and (1830.6,10469.7) ops/second in (1.092549,49.666917) seconds
2026/05/26-09:58:43  ... thread 3: (2000,522000) ops and (1130.2,10423.4) ops/second in (1.769530,50.079620) seconds
