RocksDB:    version 11.3.0
Date:       Tue May 26 10:53:26 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:53:27  ... thread 0: (27000,27000) ops and (21149.9,21149.9) ops/second in (1.276602,1.276602) seconds
2026/05/26-10:53:27  ... thread 3: (30000,30000) ops and (23351.5,23351.5) ops/second in (1.284712,1.284712) seconds
2026/05/26-10:53:27  ... thread 1: (33000,33000) ops and (25713.1,25713.1) ops/second in (1.283393,1.283393) seconds
2026/05/26-10:53:27  ... thread 2: (34000,34000) ops and (26306.5,26306.5) ops/second in (1.292458,1.292458) seconds
2026/05/26-10:53:28  ... thread 3: (30000,60000) ops and (29710.5,26150.0) ops/second in (1.009744,2.294456) seconds
2026/05/26-10:53:28  ... thread 0: (34000,61000) ops and (33491.4,26616.8) ops/second in (1.015185,2.291787) seconds
2026/05/26-10:53:28  ... thread 1: (30000,63000) ops and (29194.1,27260.9) ops/second in (1.027605,2.310998) seconds
2026/05/26-10:53:28  ... thread 2: (27000,61000) ops and (23213.4,24841.4) ops/second in (1.163123,2.455581) seconds
2026/05/26-10:53:29  ... thread 3: (26000,86000) ops and (25795.7,26041.9) ops/second in (1.007920,3.302376) seconds
2026/05/26-10:53:29  ... thread 1: (26000,89000) ops and (25964.1,26868.9) ops/second in (1.001384,3.312382) seconds
2026/05/26-10:53:29  ... thread 0: (28000,89000) ops and (27333.1,26838.1) ops/second in (1.024399,3.316186) seconds
2026/05/26-10:53:30  ... thread 2: (26000,87000) ops and (14197.6,20294.5) ops/second in (1.831299,4.286880) seconds
2026/05/26-10:53:30  ... thread 3: (7000,93000) ops and (6941.1,21573.4) ops/second in (1.008484,4.310860) seconds
2026/05/26-10:53:30  ... thread 1: (8000,97000) ops and (7947.5,22459.0) ops/second in (1.006601,4.318983) seconds
2026/05/26-10:53:30  ... thread 0: (9000,98000) ops and (8836.8,22608.5) ops/second in (1.018464,4.334650) seconds
2026/05/26-10:53:31  ... thread 0: (15000,113000) ops and (13430.9,20728.3) ops/second in (1.116826,5.451476) seconds
2026/05/26-10:53:31  ... thread 2: (13000,100000) ops and (11087.5,18317.1) ops/second in (1.172488,5.459368) seconds
2026/05/26-10:53:31  ... thread 3: (17000,110000) ops and (14719.0,20125.0) ops/second in (1.154968,5.465828) seconds
2026/05/26-10:53:31  ... thread 1: (15000,112000) ops and (12979.3,20457.9) ops/second in (1.155682,5.474665) seconds
2026/05/26-10:53:32  ... thread 1: (27000,139000) ops and (25624.1,21291.7) ops/second in (1.053696,6.528361) seconds
2026/05/26-10:53:33  ... thread 2: (30000,130000) ops and (26861.9,19768.3) ops/second in (1.116825,6.576193) seconds
2026/05/26-10:53:33  ... thread 3: (34000,144000) ops and (30356.1,21865.0) ops/second in (1.120037,6.585865) seconds
2026/05/26-10:53:33  ... thread 0: (34000,147000) ops and (30012.5,22325.7) ops/second in (1.132861,6.584337) seconds
2026/05/26-10:53:34  ... thread 2: (15000,145000) ops and (12741.9,18701.4) ops/second in (1.177218,7.753411) seconds
2026/05/26-10:53:34  ... thread 1: (15000,154000) ops and (12205.0,19852.1) ops/second in (1.229003,7.757364) seconds
2026/05/26-10:53:34  ... thread 3: (16000,160000) ops and (13459.2,20579.7) ops/second in (1.188775,7.774640) seconds
2026/05/26-10:53:34  ... thread 0: (16000,163000) ops and (13377.2,20950.1) ops/second in (1.196068,7.780405) seconds
2026/05/26-10:53:35  ... thread 2: (32000,177000) ops and (21228.2,19112.7) ops/second in (1.507431,9.260842) seconds
2026/05/26-10:53:35  ... thread 0: (30000,193000) ops and (20146.3,20820.9) ops/second in (1.489107,9.269512) seconds
2026/05/26-10:53:35  ... thread 1: (30000,184000) ops and (19701.0,19827.3) ops/second in (1.522769,9.280133) seconds
2026/05/26-10:53:35  ... thread 3: (33000,193000) ops and (21861.2,20788.1) ops/second in (1.509525,9.284165) seconds
2026/05/26-10:53:36  ... thread 2: (16000,193000) ops and (13237.8,18434.5) ops/second in (1.208659,10.469501) seconds
2026/05/26-10:53:36  ... thread 3: (16000,209000) ops and (13434.0,19951.9) ops/second in (1.191009,10.475174) seconds
2026/05/26-10:53:36  ... thread 1: (16000,200000) ops and (13154.9,19054.1) ops/second in (1.216277,10.496410) seconds
2026/05/26-10:53:37  ... thread 0: (14000,207000) ops and (11070.7,19650.4) ops/second in (1.264602,10.534114) seconds
2026/05/26-10:53:37  ... thread 2: (18000,211000) ops and (17566.8,18357.1) ops/second in (1.024658,11.494159) seconds
2026/05/26-10:53:37  ... thread 3: (16000,225000) ops and (15496.7,19552.2) ops/second in (1.032479,11.507653) seconds
2026/05/26-10:53:38  ... thread 0: (15000,222000) ops and (14877.7,19233.5) ops/second in (1.008217,11.542331) seconds
2026/05/26-10:53:38  ... thread 1: (17000,217000) ops and (16174.9,18792.1) ops/second in (1.051010,11.547420) seconds
2026/05/26-10:53:39  ... thread 3: (29000,254000) ops and (19186.8,19509.8) ops/second in (1.511456,13.019109) seconds
2026/05/26-10:53:39  ... thread 0: (29000,251000) ops and (19687.0,19284.9) ops/second in (1.473054,13.015385) seconds
2026/05/26-10:53:39  ... thread 2: (33000,244000) ops and (21606.7,18738.3) ops/second in (1.527302,13.021461) seconds
2026/05/26-10:53:39  ... thread 1: (28000,245000) ops and (18935.9,18808.4) ops/second in (1.478672,13.026092) seconds
2026/05/26-10:53:40  ... thread 3: (16000,270000) ops and (13242.8,18977.6) ops/second in (1.208200,14.227309) seconds
2026/05/26-10:53:40  ... thread 0: (16000,267000) ops and (13178.9,18763.9) ops/second in (1.214064,14.229449) seconds
2026/05/26-10:53:40  ... thread 1: (16000,261000) ops and (13115.7,18320.9) ops/second in (1.219909,14.246001) seconds
2026/05/26-10:53:40  ... thread 2: (16000,260000) ops and (12818.5,18220.5) ops/second in (1.248196,14.269657) seconds
2026/05/26-10:53:41  ... thread 0: (17000,284000) ops and (14304.7,18420.2) ops/second in (1.188418,15.417867) seconds
