RocksDB:    version 11.3.0
Date:       Tue May 26 10:59:23 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:59:24  ... thread 0: (45000,45000) ops and (44829.6,44829.6) ops/second in (1.003802,1.003802) seconds
2026/05/26-10:59:24  ... thread 2: (43000,43000) ops and (42545.9,42545.9) ops/second in (1.010672,1.010672) seconds
2026/05/26-10:59:24  ... thread 1: (39000,39000) ops and (38626.0,38626.0) ops/second in (1.009682,1.009682) seconds
2026/05/26-10:59:24  ... thread 3: (34000,34000) ops and (33143.5,33143.5) ops/second in (1.025842,1.025842) seconds
2026/05/26-10:59:25  ... thread 0: (34000,79000) ops and (33748.4,39278.9) ops/second in (1.007454,2.011256) seconds
2026/05/26-10:59:25  ... thread 1: (36000,75000) ops and (35782.7,37206.9) ops/second in (1.006073,2.015755) seconds
2026/05/26-10:59:25  ... thread 2: (37000,80000) ops and (36103.5,39302.3) ops/second in (1.024831,2.035503) seconds
2026/05/26-10:59:25  ... thread 3: (35000,69000) ops and (34611.6,33872.3) ops/second in (1.011223,2.037065) seconds
2026/05/26-10:59:26  ... thread 0: (21000,100000) ops and (15292.5,29546.7) ops/second in (1.373222,3.384478) seconds
2026/05/26-10:59:27  ... thread 2: (15000,95000) ops and (11057.4,28006.6) ops/second in (1.356554,3.392057) seconds
2026/05/26-10:59:27  ... thread 1: (17000,92000) ops and (12363.3,27132.3) ops/second in (1.375042,3.390797) seconds
2026/05/26-10:59:27  ... thread 3: (19000,88000) ops and (13550.5,25587.2) ops/second in (1.402161,3.439226) seconds
2026/05/26-10:59:28  ... thread 1: (14000,106000) ops and (12624.3,23556.7) ops/second in (1.108975,4.499772) seconds
2026/05/26-10:59:28  ... thread 2: (15000,110000) ops and (13442.3,24401.4) ops/second in (1.115883,4.507940) seconds
2026/05/26-10:59:28  ... thread 3: (18000,106000) ops and (16766.8,23488.9) ops/second in (1.073548,4.512774) seconds
2026/05/26-10:59:28  ... thread 0: (16000,116000) ops and (14027.1,25634.6) ops/second in (1.140651,4.525129) seconds
2026/05/26-10:59:29  ... thread 1: (42000,148000) ops and (41179.4,26813.1) ops/second in (1.019927,5.519699) seconds
2026/05/26-10:59:29  ... thread 3: (31000,137000) ops and (30677.5,24804.1) ops/second in (1.010513,5.523287) seconds
2026/05/26-10:59:29  ... thread 2: (33000,143000) ops and (31888.2,25799.2) ops/second in (1.034867,5.542807) seconds
2026/05/26-10:59:29  ... thread 0: (29000,145000) ops and (28089.5,26090.7) ops/second in (1.032414,5.557543) seconds
2026/05/26-10:59:30  ... thread 0: (14000,159000) ops and (13780.8,24188.2) ops/second in (1.015906,6.573449) seconds
2026/05/26-10:59:30  ... thread 2: (12000,155000) ops and (11349.4,23484.4) ops/second in (1.057324,6.600131) seconds
2026/05/26-10:59:30  ... thread 1: (12000,160000) ops and (11045.3,24219.9) ops/second in (1.086439,6.606138) seconds
2026/05/26-10:59:30  ... thread 3: (13000,150000) ops and (11961.9,22692.6) ops/second in (1.086786,6.610073) seconds
2026/05/26-10:59:31  ... thread 0: (17000,176000) ops and (14984.5,22833.5) ops/second in (1.134508,7.707957) seconds
2026/05/26-10:59:31  ... thread 1: (12000,172000) ops and (10796.7,22286.8) ops/second in (1.111447,7.717585) seconds
2026/05/26-10:59:31  ... thread 3: (10000,160000) ops and (8906.6,20691.0) ops/second in (1.122760,7.732833) seconds
2026/05/26-10:59:31  ... thread 2: (24000,179000) ops and (21079.0,23130.5) ops/second in (1.138575,7.738706) seconds
2026/05/26-10:59:32  ... thread 2: (14000,193000) ops and (12537.6,21794.7) ops/second in (1.116639,8.855345) seconds
2026/05/26-10:59:32  ... thread 1: (16000,188000) ops and (14075.8,21232.6) ops/second in (1.136705,8.854290) seconds
2026/05/26-10:59:32  ... thread 3: (16000,176000) ops and (14171.0,19860.3) ops/second in (1.129068,8.861901) seconds
2026/05/26-10:59:32  ... thread 0: (15000,191000) ops and (13012.7,21555.9) ops/second in (1.152719,8.860676) seconds
2026/05/26-10:59:33  ... thread 1: (13000,201000) ops and (12924.5,20385.1) ops/second in (1.005841,9.860131) seconds
2026/05/26-10:59:33  ... thread 2: (20000,213000) ops and (19866.0,21597.9) ops/second in (1.006746,9.862091) seconds
2026/05/26-10:59:33  ... thread 3: (28000,204000) ops and (27932.1,20680.6) ops/second in (1.002431,9.864332) seconds
2026/05/26-10:59:33  ... thread 0: (18000,209000) ops and (17516.1,21136.1) ops/second in (1.027624,9.888300) seconds
2026/05/26-10:59:34  ... thread 2: (10000,223000) ops and (9951.0,20520.8) ops/second in (1.004920,10.867011) seconds
2026/05/26-10:59:34  ... thread 1: (9000,210000) ops and (8856.4,19308.0) ops/second in (1.016210,10.876341) seconds
2026/05/26-10:59:34  ... thread 3: (11000,215000) ops and (10804.8,19756.7) ops/second in (1.018064,10.882396) seconds
