RocksDB:    version 11.3.0
Date:       Tue May 26 11:16:39 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:16:40  ... thread 1: (31000,31000) ops and (30963.2,30963.2) ops/second in (1.001190,1.001190) seconds
2026/05/26-11:16:40  ... thread 2: (32000,32000) ops and (31704.4,31704.4) ops/second in (1.009323,1.009323) seconds
2026/05/26-11:16:40  ... thread 3: (30000,30000) ops and (29569.7,29569.7) ops/second in (1.014553,1.014553) seconds
2026/05/26-11:16:40  ... thread 0: (34000,34000) ops and (33065.7,33065.7) ops/second in (1.028257,1.028257) seconds
2026/05/26-11:16:41  ... thread 3: (31000,61000) ops and (30329.5,29951.0) ops/second in (1.022106,2.036659) seconds
2026/05/26-11:16:41  ... thread 0: (31000,65000) ops and (30717.6,31902.6) ops/second in (1.009195,2.037452) seconds
2026/05/26-11:16:41  ... thread 1: (31000,62000) ops and (29901.7,30423.2) ops/second in (1.036731,2.037921) seconds
2026/05/26-11:16:41  ... thread 2: (31000,63000) ops and (28891.3,30254.8) ops/second in (1.072989,2.082312) seconds
2026/05/26-11:16:43  ... thread 1: (29000,91000) ops and (16858.0,24213.9) ops/second in (1.720250,3.758171) seconds
2026/05/26-11:16:43  ... thread 3: (32000,93000) ops and (18510.9,24698.8) ops/second in (1.728713,3.765372) seconds
2026/05/26-11:16:43  ... thread 0: (33000,98000) ops and (19039.4,25989.9) ops/second in (1.733247,3.770699) seconds
2026/05/26-11:16:43  ... thread 2: (30000,93000) ops and (17514.8,24504.9) ops/second in (1.712842,3.795154) seconds
2026/05/26-11:16:44  ... thread 2: (16000,109000) ops and (14028.0,22083.9) ops/second in (1.140575,4.935729) seconds
2026/05/26-11:16:44  ... thread 3: (17000,110000) ops and (14453.9,22260.3) ops/second in (1.176151,4.941523) seconds
2026/05/26-11:16:44  ... thread 1: (17000,108000) ops and (14446.5,21884.8) ops/second in (1.176752,4.934923) seconds
2026/05/26-11:16:44  ... thread 0: (13000,111000) ops and (11038.8,22431.7) ops/second in (1.177661,4.948360) seconds
2026/05/26-11:16:45  ... thread 0: (31000,142000) ops and (29778.3,23708.6) ops/second in (1.041027,5.989387) seconds
2026/05/26-11:16:45  ... thread 1: (31000,139000) ops and (29085.4,23163.8) ops/second in (1.065827,6.000750) seconds
