RocksDB:    version 11.3.0
Date:       Tue May 26 10:42:23 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-10:42:24  ... thread 3: (34000,34000) ops and (33368.6,33368.6) ops/second in (1.018921,1.018921) seconds
2026/05/26-10:42:24  ... thread 1: (30000,30000) ops and (29486.7,29486.7) ops/second in (1.017407,1.017407) seconds
2026/05/26-10:42:24  ... thread 0: (31000,31000) ops and (30380.8,30380.8) ops/second in (1.020381,1.020381) seconds
2026/05/26-10:42:24  ... thread 2: (32000,32000) ops and (31104.4,31104.4) ops/second in (1.028794,1.028794) seconds
2026/05/26-10:42:25  ... thread 3: (27000,61000) ops and (16218.9,22730.3) ops/second in (1.664727,2.683648) seconds
2026/05/26-10:42:25  ... thread 0: (37000,68000) ops and (22247.1,25339.8) ops/second in (1.663141,2.683522) seconds
2026/05/26-10:42:25  ... thread 1: (30000,60000) ops and (17869.0,22252.7) ops/second in (1.678889,2.696296) seconds
2026/05/26-10:42:25  ... thread 2: (30000,62000) ops and (17876.6,22903.9) ops/second in (1.678171,2.706965) seconds
2026/05/26-10:42:26  ... thread 3: (28000,89000) ops and (27591.8,24064.2) ops/second in (1.014796,3.698444) seconds
2026/05/26-10:42:26  ... thread 0: (28000,96000) ops and (27632.8,25968.3) ops/second in (1.013289,3.696811) seconds
2026/05/26-10:42:26  ... thread 2: (28000,90000) ops and (27989.3,24276.1) ops/second in (1.000383,3.707348) seconds
2026/05/26-10:42:26  ... thread 1: (29000,89000) ops and (28516.3,23968.2) ops/second in (1.016964,3.713260) seconds
2026/05/26-10:42:27  ... thread 2: (10000,100000) ops and (9975.4,21232.3) ops/second in (1.002463,4.709811) seconds
2026/05/26-10:42:27  ... thread 3: (13000,102000) ops and (12703.4,21602.0) ops/second in (1.023348,4.721792) seconds
2026/05/26-10:42:27  ... thread 0: (12000,108000) ops and (11620.2,22835.4) ops/second in (1.032682,4.729493) seconds
2026/05/26-10:42:27  ... thread 1: (13000,102000) ops and (12746.5,21550.1) ops/second in (1.019886,4.733146) seconds
2026/05/26-10:42:29  ... thread 0: (22000,130000) ops and (16743.0,21510.8) ops/second in (1.313980,6.043473) seconds
2026/05/26-10:42:29  ... thread 2: (22000,122000) ops and (16436.6,20171.0) ops/second in (1.338479,6.048290) seconds
2026/05/26-10:42:29  ... thread 3: (22000,124000) ops and (16283.0,20418.6) ops/second in (1.351101,6.072893) seconds
2026/05/26-10:42:29  ... thread 1: (22000,124000) ops and (16298.5,20384.8) ops/second in (1.349816,6.082962) seconds
2026/05/26-10:42:30  ... thread 2: (15000,137000) ops and (13655.3,19169.5) ops/second in (1.098473,7.146763) seconds
2026/05/26-10:42:30  ... thread 1: (15000,139000) ops and (13995.1,19427.6) ops/second in (1.071802,7.154764) seconds
2026/05/26-10:42:30  ... thread 0: (15000,145000) ops and (13496.6,20265.9) ops/second in (1.111394,7.154867) seconds
2026/05/26-10:42:30  ... thread 3: (16000,140000) ops and (14319.8,19470.9) ops/second in (1.117331,7.190224) seconds
2026/05/26-10:42:31  ... thread 3: (30000,170000) ops and (20225.4,19599.9) ops/second in (1.483284,8.673508) seconds
2026/05/26-10:42:31  ... thread 1: (31000,170000) ops and (20386.2,19595.6) ops/second in (1.520639,8.675403) seconds
2026/05/26-10:42:31  ... thread 2: (33000,170000) ops and (21402.1,19565.7) ops/second in (1.541904,8.688667) seconds
2026/05/26-10:42:31  ... thread 0: (32000,177000) ops and (20622.8,20329.5) ops/second in (1.551682,8.706549) seconds
2026/05/26-10:42:32  ... thread 3: (15000,185000) ops and (13567.2,18917.9) ops/second in (1.105609,9.779117) seconds
2026/05/26-10:42:32  ... thread 2: (14000,184000) ops and (12800.4,18809.3) ops/second in (1.093715,9.782382) seconds
2026/05/26-10:42:32  ... thread 0: (17000,194000) ops and (15843.7,19837.4) ops/second in (1.072979,9.779528) seconds
2026/05/26-10:42:32  ... thread 1: (15000,185000) ops and (13393.2,18886.5) ops/second in (1.119974,9.795377) seconds
2026/05/26-10:42:33  ... thread 3: (28000,213000) ops and (27815.8,19748.3) ops/second in (1.006622,10.785739) seconds
2026/05/26-10:42:33  ... thread 0: (24000,218000) ops and (23873.8,20213.6) ops/second in (1.005286,10.784814) seconds
2026/05/26-10:42:33  ... thread 2: (25000,209000) ops and (24573.1,19352.3) ops/second in (1.017373,10.799755) seconds
