RocksDB:    version 11.3.0
Date:       Tue May 26 11:55:03 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:55:04  ... thread 1: (35000,35000) ops and (34752.5,34752.5) ops/second in (1.007123,1.007123) seconds
2026/05/26-11:55:04  ... thread 3: (35000,35000) ops and (34521.6,34521.6) ops/second in (1.013859,1.013859) seconds
2026/05/26-11:55:04  ... thread 0: (37000,37000) ops and (35953.0,35953.0) ops/second in (1.029122,1.029122) seconds
2026/05/26-11:55:04  ... thread 2: (37000,37000) ops and (35419.6,35419.6) ops/second in (1.044618,1.044618) seconds
2026/05/26-11:55:05  ... thread 1: (41000,76000) ops and (40766.7,37757.5) ops/second in (1.005722,2.012845) seconds
2026/05/26-11:55:05  ... thread 3: (30000,65000) ops and (29901.1,32223.4) ops/second in (1.003309,2.017168) seconds
2026/05/26-11:55:05  ... thread 0: (31000,68000) ops and (30599.6,33297.3) ops/second in (1.013084,2.042206) seconds
2026/05/26-11:55:05  ... thread 2: (32000,69000) ops and (30803.2,33117.8) ops/second in (1.038854,2.083472) seconds
2026/05/26-11:55:07  ... thread 3: (25000,90000) ops and (17407.0,26061.5) ops/second in (1.436207,3.453375) seconds
2026/05/26-11:55:07  ... thread 0: (23000,91000) ops and (16150.0,26252.3) ops/second in (1.424152,3.466358) seconds
2026/05/26-11:55:07  ... thread 1: (28000,104000) ops and (19193.8,29956.9) ops/second in (1.458808,3.471653) seconds
2026/05/26-11:55:07  ... thread 2: (21000,90000) ops and (15059.5,25877.4) ops/second in (1.394467,3.477939) seconds
2026/05/26-11:55:08  ... thread 2: (16000,106000) ops and (14061.6,22964.6) ops/second in (1.137854,4.615793) seconds
2026/05/26-11:55:08  ... thread 3: (18000,108000) ops and (15502.3,23404.5) ops/second in (1.161116,4.614491) seconds
2026/05/26-11:55:08  ... thread 1: (14000,118000) ops and (12188.8,25539.7) ops/second in (1.148597,4.620250) seconds
2026/05/26-11:55:08  ... thread 0: (16000,107000) ops and (13734.4,23103.6) ops/second in (1.164954,4.631312) seconds
2026/05/26-11:55:09  ... thread 2: (33000,139000) ops and (32465.6,24679.3) ops/second in (1.016461,5.632254) seconds
2026/05/26-11:55:09  ... thread 1: (35000,153000) ops and (34450.4,27145.9) ops/second in (1.015954,5.636204) seconds
2026/05/26-11:55:09  ... thread 0: (33000,140000) ops and (32158.1,24746.0) ops/second in (1.026179,5.657491) seconds
2026/05/26-11:55:09  ... thread 3: (33000,141000) ops and (31318.6,24875.7) ops/second in (1.053688,5.668179) seconds
2026/05/26-11:55:10  ... thread 0: (12000,152000) ops and (11920.1,22808.5) ops/second in (1.006703,6.664194) seconds
2026/05/26-11:55:10  ... thread 2: (14000,153000) ops and (13514.7,22944.8) ops/second in (1.035912,6.668166) seconds
2026/05/26-11:55:10  ... thread 1: (13000,166000) ops and (12578.9,24888.8) ops/second in (1.033474,6.669678) seconds
2026/05/26-11:55:10  ... thread 3: (15000,156000) ops and (14839.2,23356.7) ops/second in (1.010836,6.679015) seconds
2026/05/26-11:55:11  ... thread 0: (14000,166000) ops and (12360.6,21290.7) ops/second in (1.132630,7.796824) seconds
2026/05/26-11:55:11  ... thread 2: (16000,169000) ops and (13823.9,21595.8) ops/second in (1.157417,7.825583) seconds
2026/05/26-11:55:11  ... thread 3: (13000,169000) ops and (11349.7,21599.1) ops/second in (1.145403,7.824418) seconds
2026/05/26-11:55:11  ... thread 1: (17000,183000) ops and (14662.9,23374.4) ops/second in (1.159385,7.829063) seconds
2026/05/26-11:55:12  ... thread 0: (18000,184000) ops and (16818.7,20751.0) ops/second in (1.070239,8.867063) seconds
2026/05/26-11:55:12  ... thread 3: (13000,182000) ops and (12270.5,20486.6) ops/second in (1.059449,8.883867) seconds
2026/05/26-11:55:12  ... thread 1: (17000,200000) ops and (16050.9,22501.8) ops/second in (1.059132,8.888195) seconds
2026/05/26-11:55:12  ... thread 2: (14000,183000) ops and (13050.8,20565.7) ops/second in (1.072735,8.898318) seconds
2026/05/26-11:55:13  ... thread 0: (19000,203000) ops and (18737.4,20544.3) ops/second in (1.014014,9.881077) seconds
2026/05/26-11:55:13  ... thread 3: (19000,201000) ops and (18701.7,20303.4) ops/second in (1.015951,9.899818) seconds
2026/05/26-11:55:13  ... thread 1: (15000,215000) ops and (14604.9,21683.8) ops/second in (1.027055,9.915250) seconds
2026/05/26-11:55:13  ... thread 2: (18000,201000) ops and (17700.1,20271.8) ops/second in (1.016943,9.915261) seconds
2026/05/26-11:55:14  ... thread 3: (11000,212000) ops and (10594.4,19381.8) ops/second in (1.038283,10.938101) seconds
2026/05/26-11:55:14  ... thread 2: (13000,214000) ops and (12647.0,19555.6) ops/second in (1.027913,10.943174) seconds
2026/05/26-11:55:14  ... thread 1: (15000,230000) ops and (14574.8,21015.3) ops/second in (1.029174,10.944424) seconds
2026/05/26-11:55:14  ... thread 0: (14000,217000) ops and (13043.4,19809.4) ops/second in (1.073336,10.954413) seconds
2026/05/26-11:55:15  ... thread 0: (17000,234000) ops and (14348.9,19276.4) ops/second in (1.184762,12.139175) seconds
2026/05/26-11:55:15  ... thread 1: (14000,244000) ops and (11662.2,20090.8) ops/second in (1.200463,12.144887) seconds
2026/05/26-11:55:15  ... thread 3: (15000,227000) ops and (12410.8,18688.2) ops/second in (1.208624,12.146725) seconds
2026/05/26-11:55:15  ... thread 2: (16000,230000) ops and (13191.7,18920.6) ops/second in (1.212881,12.156055) seconds
