RocksDB:    version 11.3.0
Date:       Tue May 26 11:46:26 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:46:27  ... thread 2: (39000,39000) ops and (38958.4,38958.4) ops/second in (1.001069,1.001069) seconds
2026/05/26-11:46:27  ... thread 3: (44000,44000) ops and (43834.1,43834.1) ops/second in (1.003784,1.003784) seconds
2026/05/26-11:46:27  ... thread 0: (35000,35000) ops and (34921.1,34921.1) ops/second in (1.002258,1.002258) seconds
2026/05/26-11:46:27  ... thread 1: (35000,35000) ops and (34454.0,34454.0) ops/second in (1.015846,1.015846) seconds
2026/05/26-11:46:28  ... thread 0: (35000,70000) ops and (34834.5,34877.8) ops/second in (1.004752,2.007010) seconds
2026/05/26-11:46:28  ... thread 3: (37000,81000) ops and (36666.3,40240.8) ops/second in (1.009100,2.012884) seconds
2026/05/26-11:46:28  ... thread 2: (36000,75000) ops and (35146.7,37030.7) ops/second in (1.024278,2.025347) seconds
2026/05/26-11:46:28  ... thread 1: (32000,67000) ops and (31593.8,33026.0) ops/second in (1.012858,2.028704) seconds
2026/05/26-11:46:29  ... thread 0: (30000,100000) ops and (21207.0,29225.8) ops/second in (1.414626,3.421636) seconds
2026/05/26-11:46:29  ... thread 1: (21000,88000) ops and (15022.2,25681.2) ops/second in (1.397927,3.426631) seconds
2026/05/26-11:46:29  ... thread 2: (19000,94000) ops and (13337.2,27246.9) ops/second in (1.424592,3.449939) seconds
2026/05/26-11:46:29  ... thread 3: (13000,94000) ops and (9044.9,27245.2) ops/second in (1.437271,3.450155) seconds
2026/05/26-11:46:30  ... thread 2: (15000,109000) ops and (13941.2,24083.7) ops/second in (1.075949,4.525888) seconds
2026/05/26-11:46:30  ... thread 0: (17000,117000) ops and (15391.2,25849.7) ops/second in (1.104524,4.526160) seconds
2026/05/26-11:46:30  ... thread 1: (19000,107000) ops and (17184.8,23608.5) ops/second in (1.105627,4.532258) seconds
2026/05/26-11:46:30  ... thread 3: (11000,105000) ops and (10133.2,23149.7) ops/second in (1.085542,4.535697) seconds
2026/05/26-11:46:31  ... thread 1: (34000,141000) ops and (33777.6,25456.6) ops/second in (1.006583,5.538841) seconds
2026/05/26-11:46:31  ... thread 2: (34000,143000) ops and (33351.9,25787.5) ops/second in (1.019433,5.545321) seconds
2026/05/26-11:46:31  ... thread 0: (32000,149000) ops and (31467.6,26880.4) ops/second in (1.016919,5.543079) seconds
2026/05/26-11:46:31  ... thread 3: (35000,140000) ops and (34396.8,25210.5) ops/second in (1.017536,5.553233) seconds
2026/05/26-11:46:32  ... thread 0: (14000,163000) ops and (13946.6,24897.2) ops/second in (1.003831,6.546910) seconds
2026/05/26-11:46:32  ... thread 1: (13000,154000) ops and (12757.9,23483.4) ops/second in (1.018977,6.557818) seconds
2026/05/26-11:46:32  ... thread 3: (13000,153000) ops and (12828.5,23299.7) ops/second in (1.013366,6.566599) seconds
2026/05/26-11:46:32  ... thread 2: (13000,156000) ops and (12616.4,23723.6) ops/second in (1.030407,6.575728) seconds
2026/05/26-11:46:34  ... thread 1: (21000,175000) ops and (18784.7,22799.1) ops/second in (1.117929,7.675747) seconds
2026/05/26-11:46:34  ... thread 3: (13000,166000) ops and (11659.3,21610.1) ops/second in (1.114989,7.681588) seconds
2026/05/26-11:46:34  ... thread 0: (14000,177000) ops and (12308.9,23034.0) ops/second in (1.137393,7.684303) seconds
2026/05/26-11:46:34  ... thread 2: (13000,169000) ops and (11326.1,21881.2) ops/second in (1.147793,7.723521) seconds
2026/05/26-11:46:35  ... thread 3: (14000,180000) ops and (13066.1,20564.2) ops/second in (1.071475,8.753063) seconds
2026/05/26-11:46:35  ... thread 2: (14000,183000) ops and (13532.4,20895.0) ops/second in (1.034556,8.758077) seconds
2026/05/26-11:46:35  ... thread 0: (15000,192000) ops and (13956.7,21920.2) ops/second in (1.074752,8.759055) seconds
2026/05/26-11:46:35  ... thread 1: (18000,193000) ops and (16498.4,22015.0) ops/second in (1.091013,8.766760) seconds
2026/05/26-11:46:36  ... thread 2: (19000,202000) ops and (18965.8,20697.0) ops/second in (1.001802,9.759879) seconds
2026/05/26-11:46:36  ... thread 1: (22000,215000) ops and (21916.1,22004.8) ops/second in (1.003829,9.770589) seconds
2026/05/26-11:46:36  ... thread 3: (21000,201000) ops and (20561.8,20564.0) ops/second in (1.021313,9.774376) seconds
2026/05/26-11:46:36  ... thread 0: (19000,211000) ops and (18728.9,21588.9) ops/second in (1.014474,9.773529) seconds
2026/05/26-11:46:37  ... thread 1: (10000,225000) ops and (9988.5,20888.0) ops/second in (1.001154,10.771743) seconds
2026/05/26-11:46:37  ... thread 2: (13000,215000) ops and (12786.3,19950.7) ops/second in (1.016712,10.776591) seconds
2026/05/26-11:46:37  ... thread 3: (11000,212000) ops and (10965.2,19670.5) ops/second in (1.003176,10.777552) seconds
2026/05/26-11:46:37  ... thread 0: (11000,222000) ops and (10868.1,20582.9) ops/second in (1.012132,10.785661) seconds
2026/05/26-11:46:38  ... thread 3: (15000,227000) ops and (14531.5,19221.3) ops/second in (1.032238,11.809790) seconds
2026/05/26-11:46:38  ... thread 0: (14000,236000) ops and (13619.7,19977.0) ops/second in (1.027924,11.813585) seconds
2026/05/26-11:46:38  ... thread 1: (16000,241000) ops and (15298.9,20393.4) ops/second in (1.045828,11.817571) seconds
