RocksDB:    version 11.3.0
Date:       Tue May 26 11:43:25 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:43:26  ... thread 0: (44000,44000) ops and (43901.1,43901.1) ops/second in (1.002253,1.002253) seconds
2026/05/26-11:43:26  ... thread 2: (41000,41000) ops and (40591.0,40591.0) ops/second in (1.010075,1.010075) seconds
2026/05/26-11:43:26  ... thread 3: (44000,44000) ops and (43387.8,43387.8) ops/second in (1.014109,1.014109) seconds
2026/05/26-11:43:26  ... thread 1: (41000,41000) ops and (40454.3,40454.3) ops/second in (1.013489,1.013489) seconds
2026/05/26-11:43:27  ... thread 3: (34000,78000) ops and (30551.3,36671.5) ops/second in (1.112881,2.126990) seconds
2026/05/26-11:43:27  ... thread 2: (33000,74000) ops and (24417.7,31335.3) ops/second in (1.351476,2.361551) seconds
2026/05/26-11:43:27  ... thread 0: (35000,79000) ops and (23962.7,32076.6) ops/second in (1.460604,2.462857) seconds
2026/05/26-11:43:27  ... thread 1: (31000,72000) ops and (20695.7,28669.4) ops/second in (1.497897,2.511386) seconds
2026/05/26-11:43:28  ... thread 3: (2000,80000) ops and (1988.2,25535.3) ops/second in (1.005928,3.132918) seconds
2026/05/26-11:43:28  ... thread 1: (2000,74000) ops and (1797.2,20418.2) ops/second in (1.112840,3.624226) seconds
2026/05/26-11:43:29  ... thread 2: (2000,76000) ops and (1297.7,19473.6) ops/second in (1.541171,3.902722) seconds
2026/05/26-11:43:29  ... thread 0: (2000,81000) ops and (1307.8,20290.0) ops/second in (1.529267,3.992124) seconds
2026/05/26-11:43:29  ... thread 3: (10000,90000) ops and (9886.2,21715.9) ops/second in (1.011509,4.144427) seconds
2026/05/26-11:43:29  ... thread 1: (38000,112000) ops and (35512.4,23858.8) ops/second in (1.070049,4.694275) seconds
2026/05/26-11:43:30  ... thread 2: (38000,114000) ops and (37536.9,23194.0) ops/second in (1.012336,4.915058) seconds
2026/05/26-11:43:30  ... thread 0: (39000,120000) ops and (34235.4,23385.9) ops/second in (1.139172,5.131296) seconds
2026/05/26-11:43:30  ... thread 3: (37000,127000) ops and (36785.3,24658.9) ops/second in (1.005836,5.150263) seconds
2026/05/26-11:43:34  ... thread 0: (13000,133000) ops and (3407.2,14865.8) ops/second in (3.815406,8.946702) seconds
2026/05/26-11:43:34  ... thread 2: (19000,133000) ops and (4703.1,14852.2) ops/second in (4.039847,8.954905) seconds
2026/05/26-11:43:34  ... thread 3: (16000,143000) ops and (4204.8,15968.0) ops/second in (3.805133,8.955396) seconds
2026/05/26-11:43:34  ... thread 1: (30000,142000) ops and (7035.1,15850.6) ops/second in (4.264351,8.958626) seconds
2026/05/26-11:43:35  ... thread 2: (47000,180000) ops and (46880.7,18076.9) ops/second in (1.002544,9.957449) seconds
2026/05/26-11:43:35  ... thread 3: (32000,175000) ops and (31759.2,17565.0) ops/second in (1.007581,9.962977) seconds
2026/05/26-11:43:35  ... thread 0: (37000,170000) ops and (36423.7,17064.0) ops/second in (1.015821,9.962523) seconds
2026/05/26-11:43:35  ... thread 1: (35000,177000) ops and (34490.1,17747.2) ops/second in (1.014783,9.973409) seconds
2026/05/26-11:43:41  ... thread 2: (21000,201000) ops and (3403.0,12462.4) ops/second in (6.171005,16.128454) seconds
2026/05/26-11:43:41  ... thread 1: (24000,201000) ops and (3899.2,12462.4) ops/second in (6.155041,16.128450) seconds
2026/05/26-11:43:41  ... thread 3: (25000,200000) ops and (4053.0,12398.3) ops/second in (6.168254,16.131231) seconds
2026/05/26-11:43:41  ... thread 0: (29000,199000) ops and (4690.3,12325.4) ops/second in (6.183027,16.145550) seconds
2026/05/26-11:43:42  ... thread 3: (40000,240000) ops and (39745.2,14004.3) ops/second in (1.006411,17.137642) seconds
2026/05/26-11:43:42  ... thread 2: (45000,246000) ops and (44148.1,14345.9) ops/second in (1.019296,17.147750) seconds
2026/05/26-11:43:42  ... thread 1: (39000,240000) ops and (38271.2,13996.2) ops/second in (1.019043,17.147493) seconds
2026/05/26-11:43:42  ... thread 0: (44000,243000) ops and (43132.8,14156.2) ops/second in (1.020106,17.165656) seconds
2026/05/26-11:43:43  ... thread 0: (16000,259000) ops and (13725.2,14128.8) ops/second in (1.165740,18.331396) seconds
2026/05/26-11:43:43  ... thread 3: (25000,265000) ops and (19668.6,14395.4) ops/second in (1.271060,18.408702) seconds
2026/05/26-11:43:43  ... thread 2: (16000,262000) ops and (12066.8,14182.3) ops/second in (1.325950,18.473700) seconds
2026/05/26-11:43:44  ... thread 1: (26000,266000) ops and (13321.6,13927.3) ops/second in (1.951712,19.099205) seconds
2026/05/26-11:43:44  ... thread 2: (2000,264000) ops and (1758.3,13461.7) ops/second in (1.137479,19.611179) seconds
2026/05/26-11:43:44  ... thread 0: (2000,261000) ops and (1536.3,13293.8) ops/second in (1.301824,19.633220) seconds
2026/05/26-11:43:45  ... thread 1: (1000,267000) ops and (781.8,13102.2) ops/second in (1.279078,20.378283) seconds
2026/05/26-11:43:45  ... thread 3: (3000,268000) ops and (1348.7,12988.8) ops/second in (2.224420,20.633122) seconds
2026/05/26-11:43:46  ... thread 2: (1000,265000) ops and (684.5,12575.9) ops/second in (1.460912,21.072091) seconds
2026/05/26-11:43:46  ... thread 0: (3000,264000) ops and (2009.7,12496.4) ops/second in (1.492786,21.126006) seconds
2026/05/26-11:43:46  ... thread 1: (12000,279000) ops and (11606.0,13029.9) ops/second in (1.033949,21.412232) seconds
2026/05/26-11:43:46  ... thread 3: (28000,296000) ops and (27601.2,13673.6) ops/second in (1.014450,21.647572) seconds
2026/05/26-11:43:47  ... thread 2: (39000,304000) ops and (38341.9,13762.3) ops/second in (1.017165,22.089256) seconds
2026/05/26-11:43:47  ... thread 0: (42000,306000) ops and (35209.5,13710.4) ops/second in (1.192859,22.318865) seconds
2026/05/26-11:43:47  ... thread 1: (35000,314000) ops and (34472.9,14000.7) ops/second in (1.015289,22.427521) seconds
2026/05/26-11:43:47  ... thread 3: (31000,327000) ops and (30801.7,14434.5) ops/second in (1.006438,22.654010) seconds
2026/05/26-11:43:52  ... thread 2: (20000,324000) ops and (3585.8,11710.8) ops/second in (5.577518,27.666774) seconds
2026/05/26-11:43:52  ... thread 0: (15000,321000) ops and (2804.0,11601.7) ops/second in (5.349453,27.668318) seconds
2026/05/26-11:43:52  ... thread 3: (2000,329000) ops and (398.3,11887.9) ops/second in (5.021148,27.675158) seconds
2026/05/26-11:43:52  ... thread 1: (11000,325000) ops and (2095.3,11742.4) ops/second in (5.249876,27.677397) seconds
2026/05/26-11:43:53  ... thread 2: (36000,360000) ops and (35711.3,12554.6) ops/second in (1.008083,28.674857) seconds
2026/05/26-11:43:53  ... thread 0: (39000,360000) ops and (38731.8,12554.4) ops/second in (1.006925,28.675243) seconds
2026/05/26-11:43:53  ... thread 3: (39000,368000) ops and (38305.9,12825.3) ops/second in (1.018121,28.693279) seconds
2026/05/26-11:43:53  ... thread 1: (38000,363000) ops and (37363.1,12650.5) ops/second in (1.017047,28.694444) seconds
2026/05/26-11:43:59  ... thread 3: (23000,391000) ops and (4365.3,11512.8) ops/second in (5.268845,33.962124) seconds
2026/05/26-11:43:59  ... thread 2: (28000,388000) ops and (4830.6,11255.8) ops/second in (5.796349,34.471206) seconds
2026/05/26-11:43:59  ... thread 1: (23000,386000) ops and (3954.8,11185.1) ops/second in (5.815653,34.510097) seconds
2026/05/26-11:43:59  ... thread 0: (23000,383000) ops and (3910.2,11083.0) ops/second in (5.882120,34.557363) seconds
2026/05/26-11:44:00  ... thread 1: (2000,388000) ops and (1844.1,10900.5) ops/second in (1.084532,35.594629) seconds
2026/05/26-11:44:00  ... thread 2: (4000,392000) ops and (3548.8,11011.7) ops/second in (1.127142,35.598348) seconds
2026/05/26-11:44:00  ... thread 3: (3000,394000) ops and (1831.7,11067.4) ops/second in (1.637820,35.599944) seconds
2026/05/26-11:44:00  ... thread 0: (2000,385000) ops and (1917.2,10814.4) ops/second in (1.043180,35.600543) seconds
2026/05/26-11:44:01  ... thread 2: (29000,421000) ops and (28902.5,11502.2) ops/second in (1.003372,36.601720) seconds
