RocksDB:    version 11.3.0
Date:       Tue May 26 11:25:19 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:25:20  ... thread 2: (33000,33000) ops and (32878.9,32878.9) ops/second in (1.003684,1.003684) seconds
2026/05/26-11:25:20  ... thread 1: (36000,36000) ops and (35710.7,35710.7) ops/second in (1.008101,1.008101) seconds
2026/05/26-11:25:20  ... thread 3: (36000,36000) ops and (35504.4,35504.4) ops/second in (1.013958,1.013958) seconds
2026/05/26-11:25:20  ... thread 0: (34000,34000) ops and (33596.3,33596.3) ops/second in (1.012016,1.012016) seconds
2026/05/26-11:25:21  ... thread 2: (31000,64000) ops and (30874.2,31876.4) ops/second in (1.004074,2.007758) seconds
2026/05/26-11:25:21  ... thread 3: (30000,66000) ops and (29848.3,32688.8) ops/second in (1.005082,2.019040) seconds
2026/05/26-11:25:21  ... thread 0: (31000,65000) ops and (30808.3,32206.3) ops/second in (1.006221,2.018237) seconds
2026/05/26-11:25:21  ... thread 1: (30000,66000) ops and (29526.0,32606.2) ops/second in (1.016052,2.024153) seconds
2026/05/26-11:25:23  ... thread 1: (29000,95000) ops and (17515.1,25816.2) ops/second in (1.655711,3.679864) seconds
2026/05/26-11:25:23  ... thread 0: (23000,88000) ops and (13777.9,23863.9) ops/second in (1.669340,3.687577) seconds
2026/05/26-11:25:23  ... thread 3: (30000,96000) ops and (17918.6,25993.2) ops/second in (1.674239,3.693279) seconds
2026/05/26-11:25:23  ... thread 2: (32000,96000) ops and (18824.4,25892.2) ops/second in (1.699918,3.707676) seconds
2026/05/26-11:25:24  ... thread 2: (16000,112000) ops and (13469.8,22878.1) ops/second in (1.187844,4.895520) seconds
2026/05/26-11:25:24  ... thread 0: (15000,103000) ops and (12424.6,21042.5) ops/second in (1.207278,4.894855) seconds
2026/05/26-11:25:24  ... thread 3: (14000,110000) ops and (11519.5,22409.6) ops/second in (1.215332,4.908611) seconds
2026/05/26-11:25:24  ... thread 1: (16000,111000) ops and (12875.4,22549.3) ops/second in (1.242681,4.922545) seconds
2026/05/26-11:25:25  ... thread 3: (32000,142000) ops and (30654.8,23855.5) ops/second in (1.043883,5.952494) seconds
2026/05/26-11:25:25  ... thread 2: (34000,146000) ops and (31636.5,24454.7) ops/second in (1.074708,5.970228) seconds
2026/05/26-11:25:25  ... thread 1: (30000,141000) ops and (28552.9,23605.3) ops/second in (1.050681,5.973226) seconds
2026/05/26-11:25:25  ... thread 0: (31000,134000) ops and (28385.9,22382.0) ops/second in (1.092091,5.986946) seconds
