RocksDB:    version 11.3.0
Date:       Tue May 26 11:31:09 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:31:10  ... thread 2: (34000,34000) ops and (33801.4,33801.4) ops/second in (1.005875,1.005875) seconds
2026/05/26-11:31:10  ... thread 0: (37000,37000) ops and (36820.5,36820.5) ops/second in (1.004876,1.004876) seconds
2026/05/26-11:31:10  ... thread 1: (37000,37000) ops and (36518.6,36518.6) ops/second in (1.013182,1.013182) seconds
2026/05/26-11:31:10  ... thread 3: (37000,37000) ops and (36083.0,36083.0) ops/second in (1.025413,1.025413) seconds
2026/05/26-11:31:11  ... thread 1: (40000,77000) ops and (39886.7,38194.0) ops/second in (1.002840,2.016022) seconds
2026/05/26-11:31:11  ... thread 2: (33000,67000) ops and (32347.4,33069.3) ops/second in (1.020174,2.026049) seconds
2026/05/26-11:31:11  ... thread 3: (31000,68000) ops and (30806.6,33469.7) ops/second in (1.006278,2.031691) seconds
2026/05/26-11:31:11  ... thread 0: (29000,66000) ops and (28044.9,32369.9) ops/second in (1.034057,2.038933) seconds
2026/05/26-11:31:12  ... thread 1: (25000,102000) ops and (16797.1,29106.5) ops/second in (1.488354,3.504376) seconds
2026/05/26-11:31:12  ... thread 2: (28000,95000) ops and (18701.6,26963.8) ops/second in (1.497198,3.523247) seconds
2026/05/26-11:31:12  ... thread 0: (20000,86000) ops and (13468.7,24405.1) ops/second in (1.484925,3.523858) seconds
2026/05/26-11:31:12  ... thread 3: (23000,91000) ops and (15305.9,25747.1) ops/second in (1.502692,3.534383) seconds
2026/05/26-11:31:13  ... thread 0: (15000,101000) ops and (13403.6,21753.3) ops/second in (1.119106,4.642964) seconds
2026/05/26-11:31:13  ... thread 2: (17000,112000) ops and (15126.8,24101.2) ops/second in (1.123830,4.647077) seconds
2026/05/26-11:31:13  ... thread 3: (14000,105000) ops and (12533.4,22573.9) ops/second in (1.117016,4.651399) seconds
2026/05/26-11:31:13  ... thread 1: (15000,117000) ops and (12965.8,25100.5) ops/second in (1.156889,4.661265) seconds
2026/05/26-11:31:14  ... thread 0: (29000,130000) ops and (28628.5,22984.7) ops/second in (1.012978,5.655942) seconds
2026/05/26-11:31:14  ... thread 3: (30000,135000) ops and (29616.1,23833.2) ops/second in (1.012963,5.664362) seconds
2026/05/26-11:31:14  ... thread 2: (33000,145000) ops and (32387.1,25591.2) ops/second in (1.018924,5.666001) seconds
2026/05/26-11:31:14  ... thread 1: (28000,145000) ops and (27718.3,25566.8) ops/second in (1.010163,5.671428) seconds
2026/05/26-11:31:15  ... thread 3: (15000,150000) ops and (14975.9,22502.4) ops/second in (1.001608,6.665970) seconds
2026/05/26-11:31:15  ... thread 0: (15000,145000) ops and (14828.4,21747.2) ops/second in (1.011572,6.667514) seconds
2026/05/26-11:31:15  ... thread 1: (15000,160000) ops and (14938.4,23968.1) ops/second in (1.004124,6.675552) seconds
